Target_genes	BHLHE40|Average	SRX2424487|293	SRX2424488|293	SRX150519|A549	SRX150509|GM12878	SRX3322985|GM12878	SRX3322986|GM12878	SRX6888831|HeLa	SRX6888832|HeLa	SRX6888833|HeLa	SRX6888834|HeLa	SRX100528|Hep_G2	SRX150645|Hep_G2	SRX2424662|IMR-90	SRX2424663|IMR-90	SRX15783135|Jurkat	SRX15783136|Jurkat	SRX15783137|Jurkat	SRX15783138|Jurkat	SRX19471788|Jurkat	SRX19471789|Jurkat	SRX19471796|Jurkat	SRX19471797|Jurkat	SRX150695|K-562	SRX359985|LoVo	STRING
CAMK2D	908.500000	283	0	1116	1998	2666	2582	0	0	0	0	480	1983	1821	1935	0	0	0	0	525	829	2083	1551	1952	0	0
TBCEL-TECTA	907.791667	166	0	497	2391	3444	3346	0	0	0	0	560	2297	2213	1369	0	0	0	0	261	559	1542	940	2202	0	0
TBCEL	907.791667	166	0	497	2391	3444	3346	0	0	0	0	560	2297	2213	1369	0	0	0	0	261	559	1542	940	2202	0	0
NMRAL1	902.250000	0	0	1046	2302	2967	2897	488	219	0	0	383	1985	1487	898	0	0	0	0	676	894	2128	1452	1832	0	0
HMOX2	902.250000	0	0	1046	2302	2967	2897	488	219	0	0	383	1985	1487	898	0	0	0	0	676	894	2128	1452	1832	0	0
WDR62	901.375000	240	0	1204	2056	2985	2849	140	95	0	0	493	1907	1912	1718	0	0	0	0	339	605	1942	1327	1821	0	0
THAP8	901.375000	240	0	1204	2056	2985	2849	140	95	0	0	493	1907	1912	1718	0	0	0	0	339	605	1942	1327	1821	0	0
ZNF292	899.166667	288	0	696	1810	2583	2734	0	138	0	0	1051	2046	1957	1820	0	0	0	0	473	851	1866	1305	1962	0	0
RRP36	893.666667	303	0	576	2316	3320	2308	0	0	0	0	252	2097	1943	964	0	0	0	0	670	817	2168	1729	1985	0	0
MEA1	893.666667	303	0	576	2316	3320	2308	0	0	0	0	252	2097	1943	964	0	0	0	0	670	817	2168	1729	1985	0	0
KLHDC3	893.666667	303	0	576	2316	3320	2308	0	0	0	0	252	2097	1943	964	0	0	0	0	670	817	2168	1729	1985	0	0
DENR	893.375000	0	0	1113	2212	3267	2234	412	229	0	0	381	2012	2110	2069	0	0	0	0	356	575	1535	901	2035	0	0
TSTD2	887.541667	222	0	1172	1971	2798	2407	920	443	0	0	358	2013	2029	2070	0	0	0	0	309	415	1457	952	1765	0	0
NCBP1	887.541667	222	0	1172	1971	2798	2407	920	443	0	0	358	2013	2029	2070	0	0	0	0	309	415	1457	952	1765	0	0
RPL3	887.250000	341	214	1021	2196	3389	2510	370	248	0	0	380	1969	1846	1085	0	0	0	0	549	638	1405	1095	2038	0	0
CEP112	886.291667	875	603	1411	2161	3183	1782	0	189	0	0	742	2187	2378	1815	0	0	0	0	294	333	684	374	2260	0	0
CRY2	885.708333	0	0	554	2171	3235	3079	639	328	0	0	323	1953	1699	1290	0	0	0	0	502	730	1616	1203	1935	0	0
ZNF526	884.333333	208	166	1145	1914	2705	2309	986	315	0	0	325	1967	1900	1535	0	0	0	0	371	600	1622	1352	1804	0	0
DEDD2	884.333333	208	166	1145	1914	2705	2309	986	315	0	0	325	1967	1900	1535	0	0	0	0	371	600	1622	1352	1804	0	0
ACAD9	884.333333	247	0	605	2219	3618	3187	0	0	0	0	346	2138	1738	1422	0	0	0	0	294	677	1434	1120	2179	0	0
PIK3IP1	884.208333	269	0	565	1986	3050	3264	535	400	0	0	361	1854	1711	1433	0	0	0	0	539	498	1721	1270	1765	0	0
NAT10	884.125000	0	0	741	2158	3338	2477	412	0	0	0	210	1930	1951	1276	0	0	0	0	329	658	2053	1640	2046	0	0
SLC35E2B	879.166667	2693	1774	1005	1762	2495	2417	0	0	0	0	0	1582	1829	2207	0	0	0	0	277	415	694	440	1510	0	0
YARS1	874.875000	0	0	757	2036	3062	2733	124	0	0	0	530	2146	2022	1366	0	0	0	75	500	780	1725	1351	1790	0	0
S100PBP	874.875000	0	0	757	2036	3062	2733	124	0	0	0	530	2146	2022	1366	0	0	0	75	500	780	1725	1351	1790	0	0
OSER1	873.916667	0	0	1098	2133	3092	2435	291	0	0	0	791	1855	2014	1880	0	0	0	0	441	427	1487	1065	1965	0	0
AOPEP	870.458333	0	0	716	2200	3566	2994	196	0	0	0	206	1794	1950	1519	0	0	0	0	321	678	1639	944	2168	0	0
RRAGC	869.791667	0	0	943	2118	3172	3031	0	0	0	0	586	2242	2195	1815	0	0	0	0	179	425	1354	831	1984	0	0
ASPSCR1	869.083333	0	0	720	2103	3307	3184	0	0	0	0	188	1732	1729	1320	0	0	0	0	728	692	1979	1505	1671	0	0
WASHC2C	869.041667	162	0	894	2254	3523	3199	0	0	0	0	751	2173	1848	1024	0	0	0	0	237	453	1626	896	1817	0	0
SRFBP1	868.375000	98	0	680	2157	3181	2130	424	163	0	0	361	2047	2107	1482	0	0	0	0	569	711	1582	1094	2055	0	0
VAMP2	864.458333	651	0	596	1663	2402	2663	193	102	0	0	241	1410	1407	1855	0	0	0	0	686	931	2401	2087	1459	0	0
SYNGAP1	863.750000	0	0	583	1998	3084	2451	157	163	0	0	519	1896	1686	1087	0	0	0	0	634	740	2257	1767	1708	0	0
PHF1	863.750000	0	0	583	1998	3084	2451	157	163	0	0	519	1896	1686	1087	0	0	0	0	634	740	2257	1767	1708	0	0
CUTA	863.750000	0	0	583	1998	3084	2451	157	163	0	0	519	1896	1686	1087	0	0	0	0	634	740	2257	1767	1708	0	0
LRRC37A3	861.625000	0	0	776	2044	3352	2958	236	0	0	0	509	2127	1342	726	0	0	0	160	575	890	1718	1370	1896	0	0
PKD1L3	861.250000	0	0	922	2196	3127	2381	635	221	0	0	543	1779	1973	1636	0	0	0	0	390	451	1340	1270	1806	0	0
DHODH	861.250000	0	0	922	2196	3127	2381	635	221	0	0	543	1779	1973	1636	0	0	0	0	390	451	1340	1270	1806	0	0
HIF1A	860.666667	195	0	1061	1898	2919	2893	227	0	0	0	527	2144	1790	1393	0	0	0	0	297	597	1488	1159	2068	0	0
SENP8	859.500000	0	0	1427	2257	2999	2942	795	361	0	0	913	2105	1923	1344	0	0	0	0	0	150	813	593	2006	0	0
MYO9A	859.500000	0	0	1427	2257	2999	2942	795	361	0	0	913	2105	1923	1344	0	0	0	0	0	150	813	593	2006	0	0
PKNOX1	855.916667	1347	656	508	1803	2900	2812	0	0	0	0	147	1622	1569	1318	0	0	0	0	608	828	1621	1297	1506	0	0
HPF1	854.666667	0	0	672	2227	3473	2420	338	0	0	0	581	1686	2190	1261	0	0	0	0	422	406	1674	1053	2109	0	0
IFT140	852.500000	132	0	1007	2078	3071	2639	966	567	0	0	422	1869	1848	1581	0	0	0	0	393	457	1000	779	1651	0	0
CRAMP1	852.500000	132	0	1007	2078	3071	2639	966	567	0	0	422	1869	1848	1581	0	0	0	0	393	457	1000	779	1651	0	0
BAX	850.958333	0	0	780	1819	3458	3333	146	186	0	0	267	2017	1624	1328	0	0	0	0	355	530	1520	1134	1926	0	0
WASHC2A	848.291667	182	0	460	2289	3530	3145	0	0	0	0	564	2272	1785	985	0	0	0	0	397	612	1484	960	1694	0	0
NOP14	847.625000	0	0	562	2144	3096	3086	160	0	0	0	393	1950	1819	1363	0	0	0	0	356	556	1718	1092	2048	0	0
GRK4	847.625000	0	0	562	2144	3096	3086	160	0	0	0	393	1950	1819	1363	0	0	0	0	356	556	1718	1092	2048	0	0
IQCH	846.666667	862	306	691	2279	3092	2626	0	0	0	0	0	2220	2151	2051	0	0	0	0	326	467	800	385	2064	0	0
AAGAB	846.666667	862	306	691	2279	3092	2626	0	0	0	0	0	2220	2151	2051	0	0	0	0	326	467	800	385	2064	0	0
PER1	844.041667	161	0	596	1663	2402	2663	193	102	0	0	241	1410	1407	1855	0	0	0	0	686	931	2401	2087	1459	0	0
EIF4A1	839.958333	0	0	996	2102	3093	2790	254	0	0	0	350	1976	2001	1462	0	0	0	0	664	813	945	684	2029	0	0
CD68	839.958333	0	0	996	2102	3093	2790	254	0	0	0	350	1976	2001	1462	0	0	0	0	664	813	945	684	2029	0	0
ANKRD12	838.833333	0	0	944	1656	2693	2810	459	281	0	0	738	1790	1659	1761	0	0	0	0	319	553	1723	1217	1529	0	0
ZC3H4	837.333333	0	0	859	1920	2946	2610	182	0	0	0	534	2036	1963	1179	0	0	0	0	449	761	1533	1186	1938	0	0
PAK1IP1	835.625000	115	0	786	2102	3043	2308	160	0	0	0	594	1937	1694	1631	0	0	0	0	581	691	1602	994	1817	0	0
C6orf52	835.625000	115	0	786	2102	3043	2308	160	0	0	0	594	1937	1694	1631	0	0	0	0	581	691	1602	994	1817	0	0
RAB7A	833.791667	0	0	626	1902	3099	2218	226	0	0	0	247	1568	1693	1137	0	0	0	0	576	953	2165	1760	1841	0	0
OLFML2A	829.458333	1692	917	567	1741	2688	2181	293	0	0	0	506	1678	1627	1739	0	0	0	0	234	484	1049	772	1739	0	0
NR6A1	829.458333	1692	917	567	1741	2688	2181	293	0	0	0	506	1678	1627	1739	0	0	0	0	234	484	1049	772	1739	0	0
MIEN1	828.583333	0	0	812	1941	3148	3111	167	0	0	0	490	2081	1286	918	0	0	0	0	367	646	1557	1240	2122	0	0
GRB7	828.583333	0	0	812	1941	3148	3111	167	0	0	0	490	2081	1286	918	0	0	0	0	367	646	1557	1240	2122	0	0
POR	825.666667	375	0	614	2267	3390	2723	0	0	0	0	270	2031	2044	2043	0	0	0	0	419	447	600	719	1874	0	0
RHBDD3	824.500000	2100	1390	352	1836	2955	2501	0	0	0	0	0	1392	1633	1361	0	0	0	0	254	507	1174	992	1247	94	0
EWSR1	824.500000	2100	1390	352	1836	2955	2501	0	0	0	0	0	1392	1633	1361	0	0	0	0	254	507	1174	992	1247	94	0
TBC1D15	823.500000	205	0	1061	2320	3035	2638	0	0	0	0	496	2068	1999	1943	0	0	0	0	174	270	967	595	1993	0	0
RAB21	821.458333	0	0	704	2081	3248	2282	235	190	0	0	419	2086	1587	970	0	0	0	0	351	598	1760	1218	1986	0	0
SLC35A5	815.416667	166	0	776	2020	2979	2714	311	157	0	0	529	2048	1585	1481	0	0	0	0	230	368	1407	818	1981	0	0
ATG3	815.416667	166	0	776	2020	2979	2714	311	157	0	0	529	2048	1585	1481	0	0	0	0	230	368	1407	818	1981	0	0
RAD9A	814.416667	0	0	809	1983	3436	3182	206	155	0	0	555	2168	1477	1093	0	0	0	0	162	378	1100	937	1905	0	0
PPP1CA	814.416667	0	0	809	1983	3436	3182	206	155	0	0	555	2168	1477	1093	0	0	0	0	162	378	1100	937	1905	0	0
FAM168B	813.000000	0	0	835	1867	2944	2725	182	157	0	0	767	1946	1891	1754	0	0	0	0	269	311	1111	730	2023	0	0
POLG	811.500000	1069	484	736	2214	2454	1698	0	0	0	0	0	2052	2064	2104	0	0	0	0	484	739	986	635	1757	0	0
PSMD9	808.583333	0	0	447	2341	3391	2427	0	0	0	0	0	1740	1486	765	0	0	0	0	735	774	2043	1424	1833	0	0
HPD	808.583333	0	0	447	2341	3391	2427	0	0	0	0	0	1740	1486	765	0	0	0	0	735	774	2043	1424	1833	0	0
TOMM20	808.208333	0	0	525	2128	3101	2577	0	0	0	0	232	2038	1774	1371	0	0	0	0	469	578	1590	1120	1894	0	0
LSM14B	805.750000	0	0	764	1995	2664	2787	910	414	0	0	955	1617	1674	1614	0	0	0	0	171	331	920	631	1891	0	0
FZR1	805.041667	1828	1084	294	1958	3050	2374	0	0	0	0	0	1766	1631	1477	0	0	0	0	273	481	798	752	1555	0	0
DOHH	805.041667	1828	1084	294	1958	3050	2374	0	0	0	0	0	1766	1631	1477	0	0	0	0	273	481	798	752	1555	0	0
PPP1R27	799.791667	0	0	1091	1989	2854	2810	264	0	0	0	663	1861	1500	1190	0	0	0	0	271	454	1405	1006	1837	0	0
MCRIP1	799.791667	0	0	1091	1989	2854	2810	264	0	0	0	663	1861	1500	1190	0	0	0	0	271	454	1405	1006	1837	0	0
AP5Z1	799.375000	0	0	804	1994	3410	2859	0	0	0	0	326	2271	1739	1318	0	0	0	0	246	339	1052	702	2125	0	0
REXO4	796.958333	198	0	958	1728	2706	2152	459	378	0	0	153	1656	2257	1131	0	0	0	0	324	597	1420	985	2025	0	0
ADAMTS13	796.958333	198	0	958	1728	2706	2152	459	378	0	0	153	1656	2257	1131	0	0	0	0	324	597	1420	985	2025	0	0
JMY	796.500000	0	0	840	1977	3074	3053	0	0	0	0	485	2017	2201	2444	0	0	0	0	0	270	592	327	1836	0	0
TUSC2	793.250000	2024	1443	287	1747	2634	2174	155	0	0	0	141	1255	1532	1135	0	0	0	0	180	361	1345	1017	1608	0	0
HMGN2	791.041667	0	0	361	2075	3511	2306	376	207	0	0	161	1271	2145	1398	0	0	0	0	312	571	1538	939	1814	0	0
PLD3	789.333333	0	0	558	1650	3662	3077	0	0	0	0	119	2152	1171	824	0	0	0	0	461	610	1592	1003	2065	0	0
C19orf47	789.333333	0	0	558	1650	3662	3077	0	0	0	0	119	2152	1171	824	0	0	0	0	461	610	1592	1003	2065	0	0
GNB2	787.458333	1326	773	451	1938	2700	2070	0	0	0	0	0	1912	1854	1431	0	0	0	0	516	566	1031	793	1538	0	0
UFSP2	783.791667	1200	568	531	1824	2804	2144	197	0	0	0	179	1549	1838	1552	0	0	0	0	255	435	1053	848	1834	0	0
C4orf47	783.791667	1200	568	531	1824	2804	2144	197	0	0	0	179	1549	1838	1552	0	0	0	0	255	435	1053	848	1834	0	0
CNOT6	782.291667	250	0	643	2348	3139	2306	0	0	0	0	0	2235	2246	2239	0	0	0	0	156	290	552	356	2015	0	0
EPB41L4B	780.666667	0	0	743	2336	3445	2615	0	0	0	0	473	2186	1286	803	0	0	0	0	398	529	1203	670	2049	0	0
SLC35E2A	780.041667	1319	571	1289	1789	2563	2504	0	0	0	0	0	1620	1881	2087	0	0	0	0	271	412	496	347	1572	0	0
MRPS15	779.291667	0	0	428	2372	3311	2065	0	0	0	0	406	2018	2068	1109	0	0	0	0	316	428	1294	916	1972	0	0
CDIPT	776.125000	2490	1622	403	1964	2602	1980	0	0	0	0	0	1578	1739	1689	0	0	0	0	345	227	493	297	1198	0	0
ARGLU1	775.250000	0	0	454	1897	3071	1670	301	0	0	0	293	2060	1949	1057	0	0	0	0	399	463	1783	1276	1933	0	0
ARL2	773.875000	138	0	574	1995	2815	2648	134	0	0	0	290	1768	1345	1027	0	0	0	0	311	719	1703	1290	1816	0	0
C5orf51	771.791667	118	0	274	1605	3416	2937	198	0	0	0	278	2034	1134	910	0	0	0	0	391	617	1578	1153	1880	0	0
PRRC2C	770.208333	0	0	469	2418	3422	2514	0	0	0	0	327	1844	2005	1336	0	0	0	0	146	410	881	688	2025	0	0
RNASEH2C	769.333333	244	0	615	1635	3225	2519	0	0	0	0	366	2054	1873	1100	0	0	0	0	240	417	1303	960	1913	0	0
KAT5	769.333333	244	0	615	1635	3225	2519	0	0	0	0	366	2054	1873	1100	0	0	0	0	240	417	1303	960	1913	0	0
UBE2Q1	768.083333	185	0	303	1714	3118	2333	196	113	0	0	316	1800	1284	929	0	0	0	0	591	877	1810	1175	1690	0	0
CHRNB2	768.083333	185	0	303	1714	3118	2333	196	113	0	0	316	1800	1284	929	0	0	0	0	591	877	1810	1175	1690	0	0
PUM2	767.833333	0	0	830	1930	3121	2366	0	0	0	0	723	1889	1696	1150	0	0	0	0	207	435	1202	873	2006	0	0
PDPR	766.083333	0	0	700	2028	3293	1991	364	178	0	0	428	1771	1801	1252	0	0	0	0	207	393	1338	778	1864	0	0
KLHL12	765.750000	0	0	615	1854	3583	2703	0	0	0	0	407	2248	1477	1143	0	0	0	0	224	397	948	771	2008	0	0
PGRMC2	765.208333	0	0	663	2029	2931	2733	182	0	0	0	846	1962	1755	1492	0	0	0	0	223	375	683	630	1861	0	0
ZFP36	764.791667	0	0	1195	1621	2208	2051	854	465	0	0	509	1466	1606	1899	0	0	0	0	440	574	847	734	1886	0	0
PLEKHG2	764.791667	0	0	1195	1621	2208	2051	854	465	0	0	509	1466	1606	1899	0	0	0	0	440	574	847	734	1886	0	0
TBC1D13	763.708333	175	0	414	1779	3517	2756	295	206	0	0	379	1886	1019	691	0	0	0	0	472	449	1393	992	1906	0	0
PARK7	762.583333	738	430	430	2168	2869	2123	0	0	0	0	0	2115	2105	1904	0	0	0	0	322	295	603	338	1862	0	0
TPD52L2	760.500000	0	0	674	2044	3064	2557	507	216	0	0	340	1909	2046	976	0	0	0	0	140	277	974	551	1977	0	0
ABHD16B	760.500000	0	0	674	2044	3064	2557	507	216	0	0	340	1909	2046	976	0	0	0	0	140	277	974	551	1977	0	0
DGAT2	760.083333	1268	705	357	1887	2740	2721	300	205	0	0	556	1325	1020	741	0	0	0	0	367	536	1065	758	1691	0	0
YTHDF1	759.541667	0	0	1009	1710	2855	2173	583	402	0	0	669	1716	1956	1103	0	0	0	0	189	371	1110	712	1671	0	0
SRF	759.500000	0	0	721	2150	3029	2641	601	317	0	0	516	1663	1907	1672	0	0	0	0	0	183	571	520	1737	0	0
CUL9	759.500000	0	0	721	2150	3029	2641	601	317	0	0	516	1663	1907	1672	0	0	0	0	0	183	571	520	1737	0	0
C15orf39	759.416667	0	0	581	1964	2624	2681	424	310	0	0	112	1198	1798	1605	0	0	0	0	471	353	1425	1046	1634	0	0
SMIM41	757.833333	1870	1275	387	1786	2699	2389	0	0	0	0	0	1760	1618	1062	0	0	0	0	322	369	797	515	1339	0	0
ATG101	757.833333	1870	1275	387	1786	2699	2389	0	0	0	0	0	1760	1618	1062	0	0	0	0	322	369	797	515	1339	0	0
TMEM116	756.333333	0	0	737	1735	2862	2509	0	0	0	0	677	2069	1560	1448	0	0	0	0	217	252	1275	1038	1773	0	0
ERP29	756.333333	0	0	737	1735	2862	2509	0	0	0	0	677	2069	1560	1448	0	0	0	0	217	252	1275	1038	1773	0	0
NFX1	754.416667	0	0	467	1650	3182	2431	180	0	0	0	127	1725	1247	744	0	0	0	0	560	744	1807	1352	1890	0	0
MAPK1	751.708333	0	0	234	1512	2923	2687	0	0	0	0	242	1840	1289	1524	0	0	0	0	543	846	1785	1559	1057	0	0
TCFL5	749.250000	0	0	413	1802	3242	2529	427	144	0	0	467	2086	872	583	0	0	0	0	464	466	1359	1039	2089	0	0
HPS5	748.791667	190	124	800	1594	2675	2565	0	0	0	0	236	1751	1378	1234	0	0	0	0	459	518	1507	1335	1605	0	0
GTF2H1	748.791667	190	124	800	1594	2675	2565	0	0	0	0	236	1751	1378	1234	0	0	0	0	459	518	1507	1335	1605	0	0
AGAP11	748.708333	0	0	943	2065	2965	3092	365	257	0	0	0	251	1401	1779	0	0	0	0	400	597	1770	1325	759	0	0
ADIRF	748.708333	0	0	943	2065	2965	3092	365	257	0	0	0	251	1401	1779	0	0	0	0	400	597	1770	1325	759	0	0
SDE2	748.333333	0	0	0	1568	2561	1585	0	0	0	0	0	451	193	133	215	0	154	452	2070	2283	2728	2367	1200	0	0
EIF3H	747.375000	127	0	520	2069	3020	2155	250	0	0	0	261	1939	1717	931	0	0	0	0	322	515	1268	808	2035	0	0
TSPAN31	747.083333	155	0	615	1495	2769	2435	126	0	0	0	314	1880	1519	1219	0	0	0	0	534	694	1449	1149	1577	0	0
MARCHF9	747.083333	155	0	615	1495	2769	2435	126	0	0	0	314	1880	1519	1219	0	0	0	0	534	694	1449	1149	1577	0	0
CDK4	747.083333	155	0	615	1495	2769	2435	126	0	0	0	314	1880	1519	1219	0	0	0	0	534	694	1449	1149	1577	0	0
CLEC18C	746.666667	224	0	1304	1834	2010	1589	0	0	0	0	603	2105	2311	1177	0	0	0	0	347	432	1213	699	2072	0	0
SLCO4A1	745.750000	0	0	670	2133	3226	2901	0	0	0	0	385	1757	1958	1902	0	0	0	0	171	285	322	360	1828	0	0
